,0
644,37783.64380311966
645,39995.57385015488
646,42209.56430363655
647,44419.39026069641
648,46389.54653644562
649,48361.32638335228
650,50334.7298014164
651,52309.75679063797
652,53884.6135327816
653,55460.496837854385
654,57037.42126703262
655,58615.394100904465
656,57818.62109494209
657,57022.06650662422
658,56225.74489712715
659,55429.64898586273
660,54182.84826517105
661,52936.63727211952
662,51691.001445531845
663,50445.93350481987
664,48790.74275302887
665,47136.59312534332
666,45483.49918293953
667,43831.46092581749
668,43421.389078855515
669,43011.39003777504
670,42601.463802576065
671,42191.62493443489
672,42113.75904417038
673,42035.90043449402
674,41958.04910540581
675,41880.19049572945
676,41638.569616794586
677,41396.977860212326
678,41155.415225982666
679,40913.881714105606
680,39535.564449071884
681,38158.055329322815
682,36781.3397936821
683,35410.5360956192
684,33414.06777429581
685,31419.295830011364
686,29426.24574482441
687,27434.895676970482
688,25971.206235289574
689,24508.488752126694
690,23046.726846158504
691,21585.93871885538
692,22366.166588246822
693,23146.59467381239
694,23927.23935687542
695,24708.084256112576
696,25919.228296339512
697,27130.922020971775
698,28343.165430009365
699,29555.96034359932
700,30628.14343810081
701,31700.748806715008
702,32773.79829120636
703,33847.288251280785
704,33779.83724236488
705,33712.38987374306
706,33644.94978570938
707,33577.502417087555
708,33535.02746582031
709,33492.55251455307
710,33450.07756328583
711,33407.602612018585
712,31003.42863488197
713,28601.588086247444
714,26202.088246703148
715,23804.929116249084
716,24202.765934824944
717,24600.644616782665
718,24998.5578815341
719,25396.50390893221
720,25878.8028306365
721,26361.15453660488
722,26843.57904845476
723,27326.065445303917
724,27870.86821627617
725,28415.769275188446
726,28960.779542922974
727,29505.88445830345
728,28817.362877249718
729,28129.04879295826
730,27440.960406899452
731,26753.084978044033
732,26649.504050433636
733,26545.939504146576
734,26442.376778006554
735,26338.824972748756
736,25636.863425970078
737,24935.138498306274
738,24233.642909169197
739,23532.389399588108
740,22695.336539685726
741,21858.598565220833
742,21022.17365604639
743,20182.838331758976
744,19659.07282024622
745,19135.436539173126
746,18611.929488539696
747,18088.55166834593
748,18250.870561003685
749,18413.196734249592
750,18575.52836793661
751,18737.86728221178
752,19114.164480745792
753,19490.519923985004
754,19866.92451119423
755,20243.380062520504
756,20724.09181600809
757,21204.89639699459
758,21685.793805480003
759,22166.780401170254
760,22608.830411434174
761,23050.95504772663
762,23493.1579503417
763,23935.433658838272
764,24804.093372046947
765,25673.0188267231
766,26542.21548330784
767,27411.690622389317
768,27964.80600488186
769,28518.028776049614
770,29071.364396333694
771,29624.7983045578
772,29914.00510764122
773,30203.24103307724
774,30492.49151968956
775,30781.77476894855
776,29857.915456533432
777,28934.431094408035
778,28011.312581837177
779,27092.63886833191
780,26288.99480730295
781,25485.643789947033
782,24682.574895381927
783,23879.789943754673
784,23370.966019272804
785,22862.2713252306
786,22353.718602657318
787,21845.300570964813
788,22582.349092185497
789,23319.594189286232
790,24057.04132270813
791,24794.688672304153
792,25685.36670422554
793,26576.366902172565
794,27467.676525115967
795,28359.301033496857
796,28535.462144374847
797,28711.641456723213
798,28887.83533024788
799,29064.036484360695
800,28880.47829592228
801,28696.940129101276
802,28513.400142133236
803,28329.887457370758
804,28418.15912824869
805,28506.432619273663
806,28594.70247000456
807,28682.974140882492
808,25298.52903419733
809,21918.883655250072
810,18544.016162276268
811,15173.924735128881
812,16324.983901500704
813,17476.58001124859
814,18628.700323343277
815,19781.361219108105
816,20611.907053351402
817,21442.7295499444
818,22273.812327563763
819,23105.166307091713
820,23708.727064728737
821,24312.41887295246
822,24916.256292939186
823,25520.213842630386
824,25372.459766566753
825,25224.72025167942
826,25076.998938262463
827,24929.290365874767
828,24990.285313248634
829,25051.28754121065
830,25112.28976917267
831,25173.284716546535
